Restaurant_latitude,Restaurant_longitude,Delivery_location_latitude,Delivery_location_longitude,Distance_KM,Delivery State
30.327968,78.046106,30.397968,78.116106,10.28,Uttarakhand
10.003064,76.307589,10.043064,76.347589,6.24,Kerala
18.56245,73.916619,18.65245,74.006619,13.79,Maharashtra
30.899584,75.809346,30.919584,75.829346,2.93,Punjab
26.463504,80.372929,26.593504,80.502929,19.4,Uttar Pradesh
19.176269,72.836721,19.266269,72.926721,13.76,Maharashtra
12.311072,76.654878,12.351072,76.694878,6.22,Karnataka
18.592718,73.773572,18.702718,73.883572,16.85,Maharashtra
22.552672,88.352885,22.582672,88.382885,4.54,West Bengal
18.563934,73.915367,18.643935,73.995367,12.26,Maharashtra
23.357804,85.325146,23.487804,85.455146,19.62,Jharkhand
11.003669,76.976494,11.013669,76.986494,1.56,Tamil Nadu
12.986047,80.218114,13.116047,80.348114,20.18,Karnataka
19.221315,72.862381,19.261315,72.902381,6.12,Maharashtra
13.005801,80.250744,13.115801,80.360744,17.08,Tamil Nadu
26.849596,75.800512,26.879596,75.830512,4.47,Rajasthan
21.160522,72.771477,21.250522,72.861477,13.68,Gujarat
12.934179,77.615797,13.024179,77.705797,13.97,Karnataka
18.51421,73.838429,18.62421,73.948429,16.85,Maharashtra
11.022477,76.995667,11.052477,77.025667,4.67,Tamil Nadu
21.160437,72.774209,21.210437,72.824209,7.6,Tamil Nadu
15.51315,73.78346,15.56315,73.83346,7.72,Tamil Nadu
15.561295,73.749478,15.601295,73.789478,6.18,Tamil Nadu
18.563934,73.915367,18.693935,74.045367,19.91,Tamil Nadu
18.55144,73.804855,18.62144,73.874855,10.72,Tamil Nadu
18.593481,73.785901,18.633481,73.825901,6.13,Tamil Nadu
21.173343,72.792731,21.183343,72.802731,1.52,Tamil Nadu
17.451976,78.385883,17.471976,78.405883,3.07,Tamil Nadu
12.972532,77.608179,12.992532,77.628179,3.11,Tamil Nadu
12.972532,77.608179,13.042532,77.678179,10.87,Tamil Nadu
13.064181,80.236442,13.134181,80.306442,10.87,Tamil Nadu
19.121999,72.908493,19.201999,72.988493,12.24,Tamil Nadu
21.149569,72.772697,21.239569,72.862697,13.68,Tamil Nadu
19.091458,72.827808,19.201458,72.937808,16.83,Tamil Nadu
22.539129,88.365507,22.559129,88.385507,3.03,Tamil Nadu
19.221315,72.862381,19.281315,72.922381,9.18,Tamil Nadu
12.970324,77.645748,13.030324,77.705748,9.32,Tamil Nadu
13.064181,80.236442,13.104181,80.276442,6.21,Tamil Nadu
21.175975,72.795503,21.185975,72.805503,1.52,Gujarat
23.369746,85.33982,23.409746,85.37982,6.04,Jharkhand
12.914264,77.6784,13.024264,77.7884,17.08,Karnataka
11.003681,76.975525,11.083681,77.055525,12.46,Tamil Nadu
21.173343,72.792731,21.233343,72.852731,9.12,Gujarat
10.96185,76.971082,11.05185,77.061082,14.02,Tamil Nadu
27.165108,78.015053,27.255108,78.105053,13.39,Uttar Pradesh
26.88842,75.800689,26.89842,75.810689,1.49,Rajasthan
26.913987,75.752891,26.993987,75.832891,11.92,Rajasthan
12.3085,76.665808,12.3385,76.695808,4.66,Karnataka
21.183434,72.814492,21.253434,72.884492,10.64,Gujarat
19.254567,72.848923,19.364567,72.958923,16.82,Maharashtra
18.55144,73.804855,18.59144,73.844855,6.13,Maharashtra
25.449659,81.839744,25.469659,81.859744,3,Uttar Pradesh
30.372202,78.077151,30.422202,78.127151,7.34,Uttarakhand
12.972793,80.249982,13.062793,80.339982,13.97,Karnataka
21.157735,72.768778,21.197735,72.808778,6.08,Gujarat
